"Rk","Gtm","Date","X","Opp","Rslt","IP","H","R","ER","UER","BB","SO","HR","HBP","ERA","BF","Pit","Str","IR","IS","SB","CS","AB","X2B","X3B","IBB","SH","SF","ROE","GDP","X.","Umpire","Pitchers.Used..Rest.GameScore.Dec.","Team","Year"
"23","23","May 1","","LAA","W,10-9","9.0","13","9","9","0","7","2","0","0","5.93","45","166","96","4","4","3","0","36","0","1","0","1","1","0","0","5","Hunter Wendelstedt","A.Pettitte (4-29), M.Melancon (2-BSv), J.Veras (2), E.Ramirez (2), J.Albaladejo (1-W)","NYY",2009
"24","24","May 2","","LAA","L,4-8","9.0","11","8","6","2","5","7","1","1","5.93","44","171","101","1","1","3","1","37","1","0","0","1","0","1","0","4","Dana DeMuth","C.Sabathia (4-44-L), J.Albaladejo (0), J.Veras (0), D.Robertson (6)","NYY",2009
"25","25","May 4","","BOS","L,4-6","9.0","11","6","5","1","8","10","2","1","5.90","46","183","110","4","0","1","0","37","3","0","1","0","0","1","2","4","Jerry Meals","P.Hughes (5-32-L), A.Aceves (99), E.Ramirez (2), P.Coke (3)","NYY",2009
"26","26","May 5","","BOS","L,3-7","9.0","8","7","5","2","7","14","1","2","5.86","44","195","113","5","1","3","0","34","1","0","1","0","1","1","1","7","Mike DiMuro","J.Chamberlain (5-51-L), J.Veras (2), P.Coke (0), J.Albaladejo (2), E.Ramirez (0), M.Melancon (3), D.Robertson (2)","NYY",2009
"27","27","May 6","","TBR","L,3-4","10.0","9","4","4","0","2","14","1","1","5.77","43","182","115","0","0","3","0","38","2","0","0","1","1","1","0","5","James Hoye","A.Burnett (5-54), E.Ramirez (0), J.Albaladejo (0), M.Rivera (5), P.Coke (0-L)","NYY",2009
"28","28","May 7","","TBR","L,6-8","9.0","13","8","8","0","2","8","6","0","5.85","41","176","110","0","0","2","0","39","0","0","0","0","0","0","1","4","Dale Scott","A.Pettitte (5-38), J.Veras (1), M.Rivera (0-L), D.Robertson (1)","NYY",2009
"29","29","May 8","@","BAL","W,4-0","9.0","4","0","0","0","1","8","0","0","5.65","31","112","79","","","0","1","30","0","0","0","0","0","0","0","1","Bob Davidson","C.Sabathia (5-86-W)","NYY",2009
"30","30","May 9","@","BAL","L,5-12","8.0","16","12","12","0","2","4","4","1","5.88","42","138","86","2","1","1","0","38","3","0","0","0","1","0","1","4","Jeff Nelson","P.Hughes (4-5-L), E.Ramirez (2), J.Albaladejo (2), B.Tomko (99)","NYY",2009
"31","31","May 10","@","BAL","W,5-3","9.0","10","3","3","0","3","7","1","1","5.79","37","152","93","0","0","0","1","33","0","0","0","0","0","0","2","3","Mark Carlson","J.Chamberlain (4-45-W), P.Coke (3-H), M.Rivera (2-Sv)","NYY",2009
"32","32","May 12","@","TOR","L,1-5","8.0","8","5","5","0","4","3","1","0","5.78","35","122","74","1","0","0","0","30","2","0","0","0","1","1","2","2","Laz Diaz","A.Burnett (5-44-L), J.Veras (4)","NYY",2009
"33","33","May 13","@","TOR","W,8-2","9.0","7","2","1","1","6","3","0","0","5.64","39","150","88","0","0","0","1","33","3","0","0","0","0","1","1","3","Chuck Meriwether","A.Pettitte (5-54-W), A.Aceves (8), J.Albaladejo (3)","NYY",2009
"34","34","May 14","@","TOR","W,3-2","9.0","5","2","2","0","4","6","1","0","5.53","35","122","71","0","0","0","0","31","2","0","1","0","0","0","0","2","Mike Reilly","C.Sabathia (5-65-W), M.Rivera (3-Sv)","NYY",2009
"35","35","May 15","","MIN","W,5-4","9.0","9","4","4","0","7","7","3","0","5.49","42","169","96","2","0","1","0","33","1","0","0","1","1","0","1","6","Wally Bell","P.Hughes (5-41), J.Albaladejo (1), P.Coke (4), B.Tomko (5), E.Ramirez (5), J.Veras (2-W)","NYY",2009
"36","36","May 16","","MIN","W,6-4","11.0","8","4","4","0","7","9","2","0","5.41","47","198","119","3","0","1","0","38","1","0","0","1","1","0","0","6","Marty Foster","J.Chamberlain (5-60), J.Veras (0-H), P.Coke (0-BSv), E.Ramirez (0), M.Rivera (1), A.Aceves (2-W)","NYY",2009
"37","37","May 17","","MIN","W,3-2","10.0","8","2","2","0","8","10","0","0","5.30","45","182","108","6","0","1","0","37","0","0","0","0","0","0","1","5","Chad Fairchild","A.Burnett (4-55), J.Albaladejo (1), B.Tomko (1), M.Rivera (0), A.Aceves (0-W)","NYY",2009
