last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Gray, Sonny,2015,.238,.368,.296,.294,.130,88.9,7.6,4.5,
Colon, Bartolo,2015,.271,.434,.319,.297,.163,88.9,11.7,5.4,
Bumgarner, Madison,2015,.229,.362,.281,.272,.133,87.5,12.6,4.8,
Bauer, Trevor,2015,.233,.386,.317,.322,.153,88.1,15.9,5.9,
Teheran, Julio,2015,.268,.428,.341,.341,.160,89.1,13.9,5.1,
Shields, James,2015,.234,.385,.311,.316,.151,89.2,10.7,5.6,
Ramirez, Erasmo,2015,.255,.390,.312,.311,.134,88.5,10.2,4.9,
Quintana, Jose,2015,.267,.403,.314,.311,.136,88,9.7,4.3,
Martinez, Carlos,2015,.231,.349,.294,.306,.118,87.2,5.8,4.6,
Liriano, Francisco,2015,.237,.357,.301,.312,.120,85.9,6.6,4.3,
Hendricks, Kyle,2015,.248,.362,.297,.303,.114,88,6.7,3.3,
Harvey, Matt,2015,.214,.326,.261,.259,.112,87.8,11,3.4,
Harang, Aaron,2015,.275,.482,.355,.333,.207,90.2,16.6,7.0,
Gallardo, Yovani,2015,.277,.396,.330,.341,.119,88.2,8.9,2.8,
Anderson, Brett,2015,.245,.377,.300,.295,.132,88.2,-2.1,4.1,
deGrom, Jacob,2015,.216,.326,.263,.260,.111,87.4,11.9,4.0,
Wood, Alex,2015,.270,.405,.326,.329,.135,88.2,8,4.3,
Tillman, Chris,2015,.261,.416,.330,.329,.155,89.6,12.9,5.1,
Salazar, Danny,2015,.236,.394,.307,.297,.158,89.6,11.3,6.4,
Odorizzi, Jake,2015,.244,.423,.318,.298,.179,88.5,14.8,6.2,
Niese, Jonathon,2015,.268,.406,.328,.331,.138,88.4,5.2,4.4,
Miley, Wade,2015,.256,.399,.319,.317,.142,87.4,7.9,4.5,
Heston, Chris,2015,.253,.402,.327,.331,.149,88.5,5.9,4.9,
Hamels, Cole,2015,.233,.360,.294,.297,.126,87.7,9.6,4.6,
Fiers, Mike,2015,.233,.393,.307,.305,.160,87.9,15.6,5.9,
Chen, Wei-Yin,2015,.253,.414,.313,.298,.161,87.4,15.3,6.1,
Cashner, Andrew,2015,.250,.388,.315,.319,.138,88.8,9.2,5.1,
Zimmermann, Jordan,2015,.262,.415,.316,.304,.153,87.4,12.5,4.2,
Walker, Taijuan,2015,.255,.436,.324,.305,.182,89.3,13.8,7.6,
Simon, Alfredo,2015,.278,.467,.359,.348,.189,89.7,12.6,6.1,
Samardzija, Jeff,2015,.270,.427,.332,.321,.157,88.1,14.5,5.2,
Price, David,2015,.233,.362,.284,.278,.129,87.4,12.7,4.6,
Koehler, Tom,2015,.251,.418,.330,.329,.167,89.7,11.1,5.7,
Kennedy, Ian,2015,.255,.445,.332,.317,.191,89.5,14.5,8.1,
Estrada, Marco,2015,.222,.381,.296,.287,.159,87.8,20.4,5.3,
De La Rosa, Rubby,2015,.252,.404,.318,.314,.153,88.5,9.4,6.1,
Richards, Garrett,2015,.233,.366,.304,.307,.132,87.3,5.3,5.1,
Keuchel, Dallas,2015,.230,.325,.272,.276,.095,85.7,1.1,3.3,
Hernandez, Felix,2015,.237,.360,.298,.301,.122,88.7,5.4,4.2,
Hammel, Jason,2015,.257,.430,.320,.305,.173,88.8,13.4,7.1,
Cole, Gerrit,2015,.243,.375,.298,.293,.132,88.2,8.8,4.3,
Arrieta, Jake,2015,.207,.289,.248,.257,.082,85.1,4.4,2.2,
Scherzer, Max,2015,.207,.348,.260,.243,.140,87.1,17,5.8,
Lynn, Lance,2015,.240,.381,.311,.318,.142,88.9,12,4.9,
Locke, Jeff,2015,.251,.371,.309,.320,.119,87.4,6.1,3.5,
Lester, Jon,2015,.229,.352,.283,.280,.123,87.1,9.4,4.4,
Haren, Dan,2015,.253,.436,.320,.298,.183,88.2,20.8,6.4,
Danks, John,2015,.252,.409,.317,.311,.156,87.3,16.1,5.1,
Volquez, Edinson,2016,.277,.457,.354,.349,.180,88.9,7.4,6.3,
Ventura, Yordano,2016,.273,.456,.353,.350,.183,89.8,8.7,7.8,
Tanaka, Masahiro,2016,.253,.393,.300,.290,.139,88.9,8.9,4.3,
Straily, Dan,2016,.243,.427,.329,.325,.184,88.8,18.8,7.5,
Scherzer, Max,2016,.199,.339,.263,.256,.140,87.2,19.4,6.1,
Quintana, Jose,2016,.248,.380,.300,.297,.131,88.2,16.3,4.5,
Price, David,2016,.244,.403,.302,.289,.159,87.8,11.5,6.3,
Perez, Martin,2016,.294,.464,.364,.362,.170,89.6,6.5,6.0,
Moore, Matt,2016,.246,.420,.324,.319,.174,88.7,17.3,6.4,
Lackey, John,2016,.251,.414,.322,.316,.164,89.7,14.5,5.9,
Gray, Jon,2016,.242,.386,.316,.321,.145,88.2,12.4,6.2,
Finnegan, Brandon,2016,.262,.450,.354,.353,.188,88.3,13.9,8.0,
Fernandez, Jose,2016,.222,.331,.274,.287,.109,89.2,11.5,3.8,
Verlander, Justin,2016,.211,.370,.282,.269,.159,87.9,19.3,7.5,
Smyly, Drew,2016,.234,.408,.303,.289,.174,87.8,21.3,6.7,
Roark, Tanner,2016,.245,.384,.314,.323,.139,87.4,8.6,5.4,
Pineda, Michael,2016,.234,.409,.307,.294,.175,89.7,9.5,6.7,
Maeda, Kenta,2016,.230,.370,.292,.293,.140,85.7,12.7,5.6,
Kennedy, Ian,2016,.245,.442,.331,.318,.197,89.3,19.3,7.7,
Ray, Robbie,2016,.250,.413,.325,.326,.163,89.9,12.3,6.9,
